𰀀	gnv
𱅎	cwdy
𱅏	ciqn
𱅐	cuqy
𱅑	udcf
𱅒	cccg
𱅓	cfpb
𱅔	cgki
𱅕	cgoy
𱅖	ckeg
𱅗	ctrt
𱅘	cusy
𱅙	cukq
𱅚	cwfk
𱅛	cujf
𱅜	csvg
𱅝	ynmc
𱅞	cnhc
𱅟	ccbs
𱅠	fjwc
𱅡	crqc
𱅢	ctsx
𱅣	cevg
𱅤	cprw
𱅥	cpge
𱅦	camw
𱅧	chag
𱅨	ccbl
𱅩	cnrg
𱅪	csjh
𱅫	ccbk
𱅬	cauo
𱅭	medj
𱅮	meaq
𱅯	medh
𱅰	medn
𱅱	meaw
𱅲	mehe
𱅳	megn
𱅴	ymks
𱅵	ymkm
𱅶	ymky
𱅷	ymkh
𱅸	ghyk
𱅹	ymkh
𱅺	ymkc
𱅻	ymkg
𱅼	ymkf
𱅽	aqkk
𱅾	ymkg
𱅿	delk
𱆀	deuj
𱆁	deue
𱆂	dejg
𱆃	dekm
𱆄	dexm
𱆅	dejl
𱆆	deaw
𱆇	dedi
𱆈	detm
𱆉	hggm
𱆊	xobx	xqox
𱆋	skgh
𱆌	gkmr
𱆍	gkmv
𱆎	vgkh	wfvh	qgvh
𱆏	gkmo
𱆐	xfch
𱆑	xgdh
𱆒	xdgh
𱆓	ugoh
𱆔	xrwh
𱆕	xalh
𱆖	mrqc
𱆗	rqca
𱆘	qrrc
𱆙	rqcq
𱆚	rqcm
𱆛	dtfc
𱆜	muyc
𱆝	ynyc
𱆞	rqcf
𱆟	rqck	rqch
𱆠	rqcf
𱆡	pnmc
𱆢	fkkc
𱆣	wqou
𱆤	qodn
𱆥	qomy
𱆦	cqoi
𱆧	qonf
𱆨	qocm
𱆩	qokn
𱆪	qbqo
𱆫	cfqo
𱆬	qoxf
𱆭	qoaa
𱆮	qoaf
𱆯	qote
𱆰	qoqn
𱆱	qoof
𱆲	qovo
𱆳	qosc
𱆴	qoss
𱆵	qoda
𱆶	qojv
𱆷	qowc
𱆸	qoyy
𱆹	qoov
𱆺	qouo
𱆻	qopn
𱆼	qobo
𱆽	qoma
𱆾	qolo
𱆿	qoda
𱇀	qodi
𱇁	qojf
𱇂	qoue
𱇃	qodg
𱇄	qoll
𱇅	qolf
𱇆	qotl
𱇇	qoyr
𱇈	qoud
𱇉	qofk
𱇊	qoej
𱇋	qoxx
𱇌	qoao
𱇍	qgnn
𱇎	qghy
𱇏	tgta
𱇐	qgfq
𱇑	qgmh
𱇒	qgxx
𱇓	qggg
𱇔	qgmw
𱇕	qgty
𱇖	qgrc
𱇗	qgwx
𱇘	qgyn
𱇙	qgpq
𱇚	qggs
𱇛	qgfi
𱇜	qgfc
𱇝	qggg
𱇞	qgjg
𱇟	qglh
𱇠	qglw
𱇡	qgtg
𱇢	qgyx
𱇣	qgny
𱇤	qgxl
𱇥	qggg
𱇦	qgdn
𱇧	qggw
𱇨	qghi
𱇩	qgtj
𱇪	qgtk
𱇫	vkqg
𱇬	qgah
𱇭	qggo
𱇮	qgan
𱇯	qgig
𱇰	qgkc
𱇱	whtg
𱇲	qgeb
𱇳	qgct
𱇴	qgxw
𱇵	qggm
𱇶	qgff
𱇷	qgaj
𱇸	qgkn
𱇹	rmhg
𱇺	qgtb
𱇻	qgqv
𱇼	qgtk
𱇽	qgqo
𱇾	qgpi
𱇿	qgvj
𱈀	qgnd
𱈁	qgtp
𱈂	qgjy
𱈃	qgle
𱈄	qgwd
𱈅	qgqt
𱈆	qgov
𱈇	qgng
𱈈	qgng
𱈉	qghy
𱈊	qgql
𱈋	qgyk
𱈌	qguf
𱈍	qgxu
𱈎	qgcs
𱈏	qgep
𱈐	qggf
𱈑	tmgt
𱈒	qgar
𱈓	qgsj
𱈔	qgaj
𱈕	qgtl
𱈖	qggm
𱈗	qgfj
𱈘	agij
𱈙	agat
𱈚	aggk
𱈛	qgah
𱈜	qgqg
𱈝	wvgn
𱈞	rwvo
𱈟	nywo
𱈠	knho
𱈡	hhwo
𱈢	mmgo
𱈣	wvgg
𱈤	icwo
𱈥	ckwo
𱈦	mawo
𱈧	yqao
𱈨	wvgt
𱈩	ftbo
𱈪	wvgv
𱈫	wvgf
𱈬	ubwo
𱈭	gewo
𱈮	sswo
𱈯	jewo
𱈰	wvgk
𱈱	yfwo
𱈲	ovwo
𱈳	pwto
𱈴	sveo
𱈵	snwo
𱈶	lwvt
𱈷	vhco
𱈸	tgao
𱈹	nwio
𱈺	dwwo
𱈻	fwfo
𱈼	fpgo
𱈽	kkuo
𱈾	sjgo
𱈿	fpgo
𱉀	alno
𱉁	wvgt
𱉂	palo
𱉃	mjfo
𱉄	qyvo
𱉅	adwo
𱉆	wvgi
𱉇	qynn
𱉈	vqyg
𱉉	bqyg
𱉊	fqyg
𱉋	qynf
𱉌	qynq
𱉍	qqyg
𱉎	fwqg
𱉏	fnyg
𱉐	mqyg
𱉑	wvqg
𱉒	eqyg
𱉓	ynqg
𱉔	nwqg
𱉕	qynk
𱉖	gigg
𱉗	jgqg
𱉘	egqg
𱉙	qynw
𱉚	rwqg
𱉛	tdqg
𱉜	wfqg
𱉝	vcqg
𱉞	xgug
𱉟	cfhg
𱉠	caqg
𱉡	caqg
𱉢	xlqg
𱉣	qynd
𱉤	ffqg
𱉥	fkqg
𱉦	ftxg
𱉧	faqg
𱉨	gogg
𱉩	gxwg
𱉪	aqqg
𱉫	riqg
𱉬	tdjg
𱉭	qdbg
𱉮	tkqg
𱉯	udqg
𱉰	iwqg
𱉱	plqg
𱉲	crhg
𱉳	nudg
𱉴	snrg
𱉵	goqg
𱉶	jfqg
𱉷	tmcg
𱉸	qynt
𱉹	qdmg
𱉺	ebqg
𱉻	evqg
𱉼	vcbg
𱉽	nnqg
𱉾	cwtg
𱉿	qynt
𱊀	fwfg
𱊁	dskg
𱊂	jeqg
𱊃	tqtg
𱊄	qynq
𱊅	qyny
𱊆	qkqg
𱊇	qoqg
𱊈	vqqg
𱊉	ipbg
𱊊	pwag
𱊋	yneg
𱊌	ndqg
𱊍	cccg
𱊎	vlqg
𱊏	gklg
𱊐	xxrg
𱊑	rfhg
𱊒	eftg
𱊓	eyng
𱊔	tjtg
𱊕	upmg
𱊖	pwdg
𱊗	cbtg
𱊘	xeqg
𱊙	rdfg
𱊚	fhwg
𱊛	wyfg
𱊜	qyng
𱊝	yvhg
𱊞	igkg
𱊟	pdhg
𱊠	awtg
𱊡	kwyg
𱊢	tuqg
𱊣	wyng
𱊤	yveg
𱊥	umwg
𱊦	fpgg
𱊧	dubg
𱊨	qyns
𱊩	nftg
𱊪	fwyg
𱊫	hakg
𱊬	lqjg
𱊭	vgng	wfgg
𱊮	ynky
𱊯	rytg
𱊰	ujng
𱊱	nwyg
𱊲	jawg
𱊳	lllg
𱊴	aukg
𱊵	wgkg
𱊶	hlof	hlqf
𱊷	hlos	hlqs
𱊸	hlon	hlqn
𱊹	hloj	hlqj
𱊺	hlqf
𱊻	hlqu
𱊼	hlqc
𱊽	hlqe
𱊾	ynjc
𱊿	ynjc
𱋀	ynjp
𱋁	ynjx
𱋂	ynjq
𱋃	swwj
𱋄	gtgn
𱋅	gtxn
𱋆	gtmh
𱋇	gttn
𱋈	gtyt
𱋉	gtrh
𱋊	gtgs
𱋋	gtfc
𱋌	gtty
𱋍	gtyg
𱋎	gtpw
𱋏	gtuk
𱋐	gtma
𱋑	gttj
𱋒	gtth
𱋓	gttk
𱋔	gtua
𱋕	gtoy
𱋖	gtgy
𱋗	gteb
𱋘	gtit
𱋙	gtjs
𱋚	gttl
𱋛	gttb
𱋜	gtwy
𱋝	gtuk
𱋞	fpgc
𱋟	gtde
𱋠	gtwj
𱋡	gtov
𱋢	gtug
𱋣	gtcs
𱋤	gtct
𱋥	cbtt
𱋦	gtwl
𱋧	gtua
𱋨	gtat
𱋩	gttw
𱋪	gtud
𱋫	gtaw
𱋬	gtoh
𱋭	gtgo
𱋮	gtae
𱋯	yssk
𱋰	yssw
𱋱	yssm
𱋲	amwg
𱋳	amwq
𱋴	amwf
𱋵	twii
𱋶	lfon
𱋷	lfox
𱋸	lfoh
𱋹	lfoj
𱋺	lfof
𱋻	fcqx	fcqv
𱋼	qlxf	qlmv
𱋽	qxql	qmgl
𱋾	fwkn
𱋿	fckn
𱌀	mdkn
𱌁	qkkn
𱌂	kjnu
𱌃	ffkn
𱌄	tdkn
𱌅	vqkn
𱌆	pjun
𱌇	umin
𱌈	yssn
𱌉	nkun
𱌊	fkuy
𱌋	fkuk
𱌌	fkuj
𱌍	vnuq
𱌎	vnuw
𱌏	vnul
𱌐	vnuo
𱌑	thlh
𱌒	thly
𱌓	thlr
𱌔	thlg
𱌕	thlw
𱌖	thle
𱌗	yjou
𱌘	yjlf
𱌙	yjye
𱌚	hbdy	hwwd
𱌛	hbty	hwwt
𱌜	hbwv	hwwv
𱌝	hbwb	hwwb
𱌞	hbcc	hwwc
𱌟	fffb
𱌠	golb
𱌡	hbuk	hwwk	hbuh	hwwh
𱌢	hbpe	hwwe
𱌣	hbpn	hwwn
𱌤	hbtp	hwwp
𱌥	swwb
𱌦	eevb
𱌧	hbdg	hwwg
𱌨	hbbo	hwwo
𱌩	hwba
𱌪	hwby
𱌫	hwbw
𱌬	hwbf
𱌭	hwbv
𱌮	hwbk
𱌯	hwbk
𱌰	hwbq
𱌱	hwbx
𱌲	udhb
𱌳	hwbl
𱌴	hwbo
𱌵	hwbi
𱌶	hwbc
𱌷	hwbf
𱌸	rmhb
𱌹	hwby
𱌺	hwbw
𱌻	hwbl
𱌼	hwba
𱌽	hwbl
𱌾	uegw
𱌿	gaud
𱍀	fwgd
𱍁	dxaj
𱍂	dxdx
𱍃	dqjn
𱍄	mfqn
𱍅	qjnc
𱍆	qjno
𱍇	tuqn
𱍈	umin
𱍉	wgkn
𱍊	wgkj
====
𰀋	akhk	alk
𰀤	vhgg	hvgg	mfgg
𰁚	gfga	ghga
𰃮	ipb	ipv
𰆶	cvhh	chvg	cmfg
𰇅	cdmh	ccdh
𰈅	mjdx	ljfx
𰈟	gdkk	gdgk
𰊷	fxn	fmgv
𰌛	vrix	vrwn
𰍿	ntfb	ntgm
𰎈	bhch	bcch
𰏘	wmhu	umhu	wmhw	umhw
𰏸	ymjd	yljf
𰐞	xyji	xyiy
𰑓	xanu	xjgn
𰒑	nwgo	nuvo
𰓋	rvhh	rhmf	rhvg
𰔶	vlgr	wflr
𰕂	fcuk	fcuh
𰕙	qxty	qmgt
𰖐	jgfg	jghg
𰗲	shlt	shlq
𰚆	lvmc	kgkc
𰚈	fpfc	fphc
𰜟	iusk	iukh
𰜲	igmd	iglf
𰜸	iwuk	iwuh
𰝩	iyuo	iywo
𰢡	vmdy	wfmy
𰣍	lusk	lukh
𰣟	lsll	llkl
𰤆	ugfl	ughl
𰥇	vgnl	wfgl
𰥉	hlol	hlql
𰦻	rgkc	dgkc
𰧗	dtgf	dtff
𰧧	dugo	dwgo
𰨌	pyuk	pyuh
𰨻	tvfj	tvhh
𰨿	tyuo	tywo
𰩫	uuhq	uhqq
𰫈	otgf	otff
𰫕	oyjg	oyvf
𰬌	xghg	xgqg
𰭍	mwqq	mwvq
𰭥	nake	ngky
𰮡	egmw	eymw
𰯒	even	enge
𰯝	evvh	evhh
𰯧	eyuo	eywo
𰯼	vmgj	wfmj
𰳪	txih	txfh
𰴛	nngq	anjq
𰶚	rygu	tfwu
𰷖	muvo	mwgo
𰷛	myuo	mwgo
𰸯	khxg	khmv
𰸼	tmdy	tmdw
𰹝	lusk	lukh
𰹧	lvfj	lvhh
𰹪	lyuo	lywo
𰺫	uuvo	uwgo
𰻕	vfjp	vhtp
𰻝	pwep	pwyp
𰻞	pwep	pwyp
𱀶	buvo	bwgo
𱁊	usky	ukhy
𱃡	wpgf	wyvf
𱃢	wpfn	wyvn
𱃣	wpgh	wyvh
𱃥	wpgj	wyvj
𱃦	wpdj	wyvj
𱃧	wpiq	wyvq
𱃨	wpkh	wyvh
𱃩	wpuj	wyvj
𱃪	wpaw	wyvw
𱃫	wpee	wyve
𱃬	wpsk	wyvk
𱃭	wpsu	wyvq
𱃯	wptl	wyvl
𱃰	wptu	wyvu
𱄲	cgfn	cghn
𱄺	cwwj	cwwl
𱆊	xobx	xqox
𱆎	vgkh	wfvh	qgvh
𱆟	rqck	rqch
𱊭	vgng	wfgg
𱊶	hlof	hlqf
𱊷	hlos	hlqs
𱊸	hlon	hlqn
𱊹	hloj	hlqj
𱋻	fcqx	fcqv
𱋼	qlxf	qlmv
𱋽	qxql	qmgl
𱌚	hbdy	hwwd
𱌛	hbty	hwwt
𱌜	hbwv	hwwv
𱌝	hbwb	hwwb
𱌞	hbcc	hwwc
𱌡	hbuk	hwwk	hbuh	hwwh
𱌢	hbpe	hwwe
𱌣	hbpn	hwwn
𱌤	hbtp	hwwp
𱌧	hbdg	hwwg
𱌨	hbbo	hwwo
