𱍐	fhqb	fhjj
𱍑	fcgf
𲁹	yxxx	yxfx
𲄻	vlgk	wflk
𲅇	ngud	nguh
𲅍	ehwn	wneh
𲅯	wkfp	wmyp
𲅾	uthi	uthy
𲇩	gjgq	aiqq
𲈯	uake	ugky
𲉭	nywc	nywq
𲋒	djdh	djdj
𲋓	iqfu	iqnc
𲋔	wpnf	wyvf
𲋕	wpty	wyvt
𲋘	wpaq	wyvq
𲋙	wpjf	wyvf
𲋚	wpwa	wyva
𲋜	wpxr	wyvr
𲋝	wpuw	wyvw
𲋞	wpdh	wyvh
𲋟	wpaa	wyva
𲋠	wphe	wyve
𲋡	wpyi	wyvi
𲌥	elof	elqf
𲌭	rqpf	tlqf
𲎢	hbwk	hwwk
